pageType,Url
Databases,"https://breachforums.st/Announcement-Database-Index"
"Forum - Announcements","https://breachforums.st/Thread-Restoring-Official-Database-to-Original-Owners"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Email-Whitelist"
Home,"https://breachforums.st/"
"Forum - Announcements","https://breachforums.st/Thread-RIP-Jacuzzi"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-BreachFourms-i2p-Mirror"
"Forum - Announcements","https://breachforums.st/Thread-Another-day-another-domain-suspension"
"Forum - World News","https://breachforums.st/Thread-Where-to-find-business-emails"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Modify-Marketplace-Section-Rules-Leaks-Market"
"Forum - Announcements","https://breachforums.st/Thread-Quality-of-Life-Updates"
"Forum - World News","https://breachforums.st/Thread-emo-Telegram-zero-day-Exploit"
"Forum - Announcements","https://breachforums.st/Thread-Clarification-about-partnerships-with-our-forum"
"Forum - World News","https://breachforums.st/Thread-Firefox-and-Tor-hit-with-9-8-critical-level-exploit"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-IQ-Test-During-Forum-Registrations"
"Forum - Announcements","https://breachforums.st/Thread-Downtime-Update--79856"
"Forum - World News","https://breachforums.st/Thread-macOS-Ransomware"
"Forum - Announcements","https://breachforums.st/Thread-BFv1-Database-Leak"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Need-a-feature-to-bookmark-threads"
"Forum - World News","https://breachforums.st/Thread-Crypto-Litecoin"
"Forum - Announcements","https://breachforums.st/Thread-Confirmation-of-new-domain"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-cooking-area"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Statement-Regarding-Pompompurin"
"Forum - World News","https://breachforums.st/Thread-Cyber-house-of-cards-%E2%80%93-Politicians%E2%80%99-personal-details-exposed-online"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-BUG-The-specified-thread-does-not-exist-minor"
"Forum - World News","https://breachforums.st/Thread-RIOT-puts-up-a-100-000-Bug-Bounty-Reward"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Regarding-old-BreachForums-domains"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-subforums-to-the-Cracked-Accounts-section"
"Forum - World News","https://breachforums.st/Thread-The-solution-in-Syria-Syrian-President-Bashar-al-Assad"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Account-Verification-Email"
"Forum - World News","https://breachforums.st/Thread-LG-Smart-TVs-Vulnerable-to-Root-Access-Exploits"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-BUG-Images-from-the-breach-don-t-work-in-threads-when-using-the-onion"
"Forum - World News","https://breachforums.st/Thread-Reliable-source-for-professional-emails"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-BUG-Tor"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Statement-Regarding-Pompompurin"
"Forum - World News","https://breachforums.st/Thread-Alaska-News"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Regarding-old-BreachForums-domains"
"Forum - World News","https://breachforums.st/Thread-News-Elon-Musk-and-Germany"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-trading-and-shitposting-forum"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Standardisation-of-thread-s-format-including-attaching-a-mandatory-sample"
"Forum - Announcements","https://breachforums.st/Thread-Restoring-Official-Database-to-Original-Owners"
"Forum - Announcements","https://breachforums.st/Thread-Scammers-pretending-to-be-staff"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Custom-user-groups"
"Forum - Announcements","https://breachforums.st/Thread-Telegram-Shoutbox-Update"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-change-shoutbox-telegram-link"
"Forum - World News","https://breachforums.st/Thread-Putin-Film"
"Forum - Announcements","https://breachforums.st/Thread-New-Forum-Sections"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Automatically-unhide-links-from-banned-users-threads"
"Forum - World News","https://breachforums.st/Thread-USA-whos-the-next-president"
"Forum - World News","https://breachforums.st/Thread-Critical-BeyondTrust-Vulnerability"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-How-did-we-troll-FBI"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-All-bugs-in-forum"
"Forum - Announcements","https://breachforums.st/Thread-New-escrow-update"
"Forum - World News","https://breachforums.st/Thread-FakeBat-Loader-Malware-Spreads-Widely-Through-Drive-by-Download-Attacks"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Show-how-many-times-download-unlocked"
"Forum - Announcements","https://breachforums.st/Thread-Auto-Escrow-Update"
"Forum - World News","https://breachforums.st/Thread-Update-conflict-in-Ukraine"
"Forum - World News","https://breachforums.st/Thread-nick-fuentes-THOUGHTS"
"Forum - Introductions","https://breachforums.st/Thread-Greetings-I-m-zDisTero-I-introduce-myself"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-trading-and-shitposting-forum"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Statement-Regarding-Pompompurin"
"Forum - Introductions","https://breachforums.st/Thread-Feliz-Natal-Apura"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-Regarding-old-BreachForums-domains"
"Forum - Introductions","https://breachforums.st/Thread-Newcomer-Report"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Standardisation-of-thread-s-format-including-attaching-a-mandatory-sample"
"Forum - Announcements","https://breachforums.st/Thread-Restoring-Official-Database-to-Original-Owners"
"Forum - Introductions","https://breachforums.st/Thread-Nam3L3ss-Manifesto"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Email-Whitelist"
"Forum - Announcements","https://breachforums.st/Thread-Scammers-pretending-to-be-staff"
"Forum - Introductions","https://breachforums.st/Thread-Hi-Everyone--154555"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Thread-Prefixes"
"Forum - Announcements","https://breachforums.st/Thread-Telegram-Shoutbox-Update"
"Forum - Introductions","https://breachforums.st/Thread-Hello--154520"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-BF-url-redirect"
"Forum - Introductions","https://breachforums.st/Thread-how-to-pentest-an-IoT-Web-application"
